,populacao,obitos,casos,obitos_relativo,casos_relativo
Rosário do Ivaí,5674,2,315,35.24850193866761,5551.639055340148
Flórida,2703,5,249,184.9796522382538,9211.98668146504
Jundiaí do Sul,3347,5,156,149.38751120406334,4660.890349566776
Barra do Jacaré,2736,1,156,36.54970760233918,5701.754385964912
Farol,3204,3,107,93.63295880149813,3339.5755305867665
Ivaté,8322,3,274,36.04902667627974,3292.477769766883
Entre Rios do Oeste,4578,3,279,65.53079947575361,6094.364351245085
Iracema do Oeste,2624,2,134,76.21951219512195,5106.707317073171
Santa Maria do Oeste,11184,20,510,178.826895565093,4560.085836909871
Uniflor,2600,3,76,115.38461538461539,2923.076923076923
Tuneiras do Oeste,9442,11,452,116.50074136835416,4787.121372590553
Pato Bragado,5551,6,339,108.08863267879661,6107.007746352008
Quatro Barras,24876,61,2436,245.21627271265476,9792.571152918475
Guairaçá,6667,8,330,119.994000299985,4949.752512374382
Santo Inácio,5440,10,475,183.8235294117647,8731.617647058823
